# Logfile created on 2023-05-03 18:23:52 +0000 by logger.rb/v1.4.3
[2023-05-03T18:23:52+00:00] INFO: Started Cinc Zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded (One version per cookbook)
[2023-05-03T18:23:52+00:00] INFO: *** Cinc Client 17.10.0 ***
[2023-05-03T18:23:52+00:00] INFO: Platform: x86_64-linux
[2023-05-03T18:23:52+00:00] INFO: Cinc-client pid: 32
[2023-05-03T18:23:53+00:00] INFO: Setting the run_list to ["recipe[gitlab-ee]"] from CLI options
[2023-05-03T18:23:53+00:00] INFO: Run List is [recipe[gitlab-ee]]
[2023-05-03T18:23:53+00:00] INFO: Run List expands to [gitlab-ee]
[2023-05-03T18:23:53+00:00] INFO: Starting Cinc Client Run for gitlab.example.com
[2023-05-03T18:23:53+00:00] INFO: Running start handlers
[2023-05-03T18:23:53+00:00] INFO: Start handlers complete.
[2023-05-03T18:23:54+00:00] INFO: Loading cookbooks [gitlab-ee@0.0.1, package@0.1.0, gitlab@0.0.1, consul@0.1.0, patroni@0.1.0, pgbouncer@0.1.0, spamcheck@0.1.0, runit@5.1.7, logrotate@0.1.0, postgresql@0.1.0, redis@0.1.0, monitoring@0.1.0, registry@0.1.0, mattermost@0.1.0, gitaly@0.1.0, praefect@0.1.0, gitlab-kas@0.1.0, gitlab-pages@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, acme@4.1.6, crond@0.1.0]
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/sentinel_helper.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/geo_secondary.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/metadata.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/config.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/gitlab_geo_helper.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/suggested_reviewers.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/resources/sentinel_service.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/geo_postgresql.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/gitlab-ee.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/libraries/sentinel.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-logcursor.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/default.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-postgresql.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-logcursor_disable.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-postgresql_disable.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-secondary_disable.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/sentinel_disable.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo_database_migrations.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/sentinel.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/geo-secondary.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/attributes/default.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/recipes/suggested_reviewers.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/gitlab-geo-psql-rc.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/mount_point_check.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-geo-logcursor-log-config.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sentinel.conf.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-geo-postgresql-log-config.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-geo-logcursor-log-run.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-geo-logcursor-run.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-geo-postgresql-log-run.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-geo-postgresql-t.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-geo-postgresql-run.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-sentinel-log-config.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-sentinel-log-run.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/gitlab-ee/templates/default/sv-sentinel-run.erb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/package/files/default/gitlab-runsvdir.conf in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/application.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/package/libraries/certificate_helper.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/package/libraries/config/gitlab.rb in the cache.
[2023-05-03T18:23:54+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/consul.rb in the cache.
