[03/May/2023:18:25:23 +0000] - 200 200 - GET https homepage.rajawat.com "/" [Client 172.27.0.1] [Length 8365] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginx.rajawat.com/"
[03/May/2023:18:25:23 +0000] - 200 200 - GET https homepage.rajawat.com "/_next/static/media/Manrope.63012343.woff2" [Client 172.27.0.1] [Length 53884] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/_next/static/css/d59fba87bba452e2.css"
[03/May/2023:18:25:23 +0000] - 200 200 - GET https homepage.rajawat.com "/api/widgets/resources?type=cpu" [Client 172.27.0.1] [Length 48] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:23 +0000] - 200 200 - GET https homepage.rajawat.com "/api/validate" [Client 172.27.0.1] [Length 2] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:23 +0000] - 200 200 - GET https homepage.rajawat.com "/api/hash" [Client 172.27.0.1] [Length 75] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:24 +0000] - 200 200 - GET https homepage.rajawat.com "/site.webmanifest?v=4" [Client 172.27.0.1] [Length 176] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:24 +0000] - 304 304 - GET https homepage.rajawat.com "/api/hash" [Client 172.27.0.1] [Length 0] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:24 +0000] - 200 200 - GET https homepage.rajawat.com "/api/widgets/resources?type=disk&target=/" [Client 172.27.0.1] [Length 142] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:24 +0000] - 200 200 - GET https homepage.rajawat.com "/api/bookmarks" [Client 172.27.0.1] [Length 286] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:24 +0000] - 200 200 - GET https homepage.rajawat.com "/api/widgets" [Client 172.27.0.1] [Length 162] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:24 +0000] - 200 200 - GET https homepage.rajawat.com "/api/widgets/resources?type=memory" [Client 172.27.0.1] [Length 258] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:24 +0000] - 200 200 - GET https homepage.rajawat.com "/api/services" [Client 172.27.0.1] [Length 481] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:25 +0000] - 200 200 - GET https homepage.rajawat.com "/api/releases" [Client 172.27.0.1] [Length 11041] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:26 +0000] - 200 200 - GET https homepage.rajawat.com "/api/widgets/resources?type=cpu" [Client 172.27.0.1] [Length 47] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:26 +0000] - 200 200 - GET https homepage.rajawat.com "/api/widgets/resources?type=memory" [Client 172.27.0.1] [Length 258] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:26 +0000] - 200 200 - GET https homepage.rajawat.com "/api/widgets/resources?type=disk&target=/" [Client 172.27.0.1] [Length 142] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:29 +0000] - 304 304 - GET https homepage.rajawat.com "/api/hash" [Client 172.27.0.1] [Length 0] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:29 +0000] - 304 304 - GET https homepage.rajawat.com "/api/validate" [Client 172.27.0.1] [Length 0] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
[03/May/2023:18:25:29 +0000] - 304 304 - GET https homepage.rajawat.com "/api/releases" [Client 172.27.0.1] [Length 0] [Gzip -] [Sent-to homepage] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "https://homepage.rajawat.com/"
